CustomerKey,CustomerCode,FirstName,LastName,FullName,Gender,BirthDate,JoinDate,CustomerSegment,GeographyKey,EmailHighCardinality,IsNewsletterSubscriber
36,C000036,Jan,Martin,Jan Martin,Unknown,1963-09-07,2022-04-02,Consumer,31,jan.martin.36@example.com,True
37,C000037,Kasia,Klein,Kasia Klein,Unknown,1989-06-18,2022-06-29,Consumer,12,kasia.klein.37@example.com,False
38,C000038,Adam,Rossi,Adam Rossi,Unknown,1969-05-25,2022-05-10,Corporate,18,adam.rossi.38@example.com,True
39,C000039,Adam,Klein,Adam Klein,Unknown,2001-05-10,2024-11-16,Consumer,23,adam.klein.39@example.com,False
40,C000040,Hugo,Wojcik,Hugo Wojcik,M,1964-05-02,2021-08-21,Small Business,26,hugo.wojcik.40@example.com,False
41,C000041,Emma,Muller,Emma Muller,F,1989-05-18,2021-07-29,Consumer,31,emma.muller.41@example.com,False
42,C000042,Noah,Kowalski,Noah Kowalski,F,1997-09-08,2021-07-08,Consumer,16,noah.kowalski.42@example.com,True
43,C000043,Piotr,Brown,Piotr Brown,M,2004-03-01,2021-05-06,Corporate,31,piotr.brown.43@example.com,False
44,C000044,Marek,Brown,Marek Brown,F,1967-05-11,2021-07-14,Corporate,31,marek.brown.44@example.com,True
45,C000045,Lukas,Dubois,Lukas Dubois,F,1966-01-27,2023-09-01,Small Business,3,lukas.dubois.45@example.com,False
46,C000046,Jan,Kowalski,Jan Kowalski,M,1974-10-20,2023-08-01,Consumer,19,jan.kowalski.46@example.com,False
47,C000047,Marek,Klein,Marek Klein,F,1963-09-15,2022-04-26,Consumer,34,marek.klein.47@example.com,False
48,C000048,Lukas,Kowalski,Lukas Kowalski,Unknown,2002-06-26,2024-05-10,Corporate,17,lukas.kowalski.48@example.com,True
49,C000049,Tomas,Novak,Tomas Novak,F,1975-02-13,2020-08-29,VIP,26,tomas.novak.49@example.com,False
50,C000050,Anna,Rossi,Anna Rossi,M,1979-04-15,2021-05-21,Consumer,16,anna.rossi.50@example.com,False
51,C000051,Ola,Brown,Ola Brown,M,1978-12-08,2022-06-29,Consumer,1,ola.brown.51@example.com,True
52,C000052,Marco,Martin,Marco Martin,F,1962-11-10,2022-03-18,VIP,33,marco.martin.52@example.com,False
53,C000053,Filip,Garcia,Filip Garcia,Unknown,1981-12-18,2023-09-11,Small Business,30,filip.garcia.53@example.com,False
54,C000054,Julia,Jansen,Julia Jansen,F,1988-12-12,2024-12-12,Consumer,6,julia.jansen.54@example.com,False
55,C000055,Emma,Nilsson,Emma Nilsson,M,1989-03-06,2024-01-01,Consumer,33,emma.nilsson.55@example.com,True
56,C000056,Marta,Klein,Marta Klein,F,1987-08-26,2024-05-22,Consumer,32,marta.klein.56@example.com,False
57,C000057,Adam,Jansen,Adam Jansen,M,1998-05-24,2024-02-28,Small Business,4,adam.jansen.57@example.com,False
58,C000058,Jan,Dubois,Jan Dubois,F,1977-12-03,2020-10-27,VIP,5,jan.dubois.58@example.com,False
59,C000059,Tomas,Smith,Tomas Smith,M,2004-03-25,2022-07-24,VIP,19,tomas.smith.59@example.com,True
60,C000060,Eva,Nowak,Eva Nowak,Unknown,1998-11-28,2021-03-27,Small Business,25,eva.nowak.60@example.com,True
61,C000061,Eva,Novak,Eva Novak,F,1963-12-08,2019-09-07,VIP,35,eva.novak.61@example.com,False
62,C000062,Tomas,Novak,Tomas Novak,F,1979-04-08,2022-08-26,Consumer,35,tomas.novak.62@example.com,False
63,C000063,Jan,Wojcik,Jan Wojcik,F,1997-07-20,2019-12-11,Consumer,8,jan.wojcik.63@example.com,True
64,C000064,Kasia,Nilsson,Kasia Nilsson,Unknown,1998-12-28,2023-03-29,Consumer,3,kasia.nilsson.64@example.com,False
65,C000065,Emma,Wojcik,Emma Wojcik,F,2004-01-05,2022-03-19,Small Business,35,emma.wojcik.65@example.com,False
66,C000066,Lena,Nilsson,Lena Nilsson,M,2004-11-27,2022-06-07,Small Business,21,lena.nilsson.66@example.com,False
67,C000067,Noah,Dubois,Noah Dubois,Unknown,1974-05-02,2021-06-03,Corporate,34,noah.dubois.67@example.com,False
68,C000068,Hugo,Brown,Hugo Brown,Unknown,1997-07-26,2022-04-26,Consumer,4,hugo.brown.68@example.com,True
69,C000069,Lukas,Wojcik,Lukas Wojcik,M,1989-08-08,2020-11-19,Small Business,25,lukas.wojcik.69@example.com,True
70,C000070,Jan,Novak,Jan Novak,M,1981-07-18,2021-04-08,Consumer,30,jan.novak.70@example.com,True
71,C000071,Kasia,Lewandowski,Kasia Lewandowski,F,1978-02-18,2021-01-15,Consumer,6,kasia.lewandowski.71@example.com,False
72,C000072,Marta,Muller,Marta Muller,F,2003-10-24,2023-04-03,Consumer,3,marta.muller.72@example.com,False
73,C000073,Marco,Klein,Marco Klein,Unknown,1955-04-07,2020-07-31,VIP,22,marco.klein.73@example.com,False
74,C000074,Filip,Martin,Filip Martin,M,1968-07-08,2022-04-04,Consumer,16,filip.martin.74@example.com,False
75,C000075,Marco,Rossi,Marco Rossi,Unknown,1978-09-16,2021-03-31,Consumer,23,marco.rossi.75@example.com,False
76,C000076,Hugo,Garcia,Hugo Garcia,Unknown,1981-01-19,2020-10-27,Consumer,14,hugo.garcia.76@example.com,True
77,C000077,Marco,Smith,Marco Smith,F,1967-06-08,2024-02-18,Consumer,27,marco.smith.77@example.com,False
78,C000078,Ola,Wojcik,Ola Wojcik,M,1986-12-21,2022-09-05,Consumer,22,ola.wojcik.78@example.com,False
79,C000079,Sofia,Martin,Sofia Martin,Unknown,1989-08-06,2020-10-23,Consumer,11,sofia.martin.79@example.com,False
80,C000080,Anna,Dubois,Anna Dubois,F,1963-11-08,2022-08-29,Consumer,4,anna.dubois.80@example.com,False
81,C000081,Filip,Brown,Filip Brown,F,1997-10-16,2022-11-21,Consumer,4,filip.brown.81@example.com,False
82,C000082,Anna,Novak,Anna Novak,Unknown,2001-05-18,2021-04-18,Small Business,1,anna.novak.82@example.com,False
83,C000083,Piotr,Klein,Piotr Klein,Unknown,1961-09-05,2022-05-28,Consumer,12,piotr.klein.83@example.com,False
84,C000084,Eva,Nowak,Eva Nowak,Unknown,1978-07-15,2021-10-13,Consumer,18,eva.nowak.84@example.com,False
85,C000085,Jan,Nowak,Jan Nowak,F,1980-07-13,2023-02-14,Corporate,6,jan.nowak.85@example.com,False
86,C000086,Marek,Lewandowski,Marek Lewandowski,F,1982-11-26,2024-03-30,Small Business,6,marek.lewandowski.86@example.com,False
87,C000087,Emma,Klein,Emma Klein,F,1999-10-16,2021-07-03,Corporate,15,emma.klein.87@example.com,True
88,C000088,Lena,Brown,Lena Brown,F,1957-03-28,2021-03-17,Corporate,35,lena.brown.88@example.com,False
89,C000089,Marta,Rossi,Marta Rossi,Unknown,1965-10-08,2022-08-05,Small Business,26,marta.rossi.89@example.com,True
90,C000090,Marta,Novak,Marta Novak,F,2002-06-02,2024-03-06,Small Business,9,marta.novak.90@example.com,True
91,C000091,Lucia,Kowalski,Lucia Kowalski,F,1995-05-26,2023-06-28,Consumer,26,lucia.kowalski.91@example.com,False
92,C000092,Lukas,Brown,Lukas Brown,F,1992-11-13,2023-06-02,Corporate,28,lukas.brown.92@example.com,True
93,C000093,Eva,Martin,Eva Martin,M,1995-03-24,2022-09-08,Consumer,10,eva.martin.93@example.com,True
94,C000094,Kasia,Garcia,Kasia Garcia,F,2003-05-04,2022-02-13,Consumer,20,kasia.garcia.94@example.com,False
95,C000095,Tomas,Nowak,Tomas Nowak,Unknown,1956-02-12,2020-12-20,Corporate,33,tomas.nowak.95@example.com,True
96,C000096,Anna,Rossi,Anna Rossi,F,1981-07-25,2024-11-25,Corporate,25,anna.rossi.96@example.com,True
97,C000097,Lukas,Smith,Lukas Smith,F,1972-05-09,2021-06-09,Consumer,25,lukas.smith.97@example.com,True
98,C000098,Marek,Wojcik,Marek Wojcik,Unknown,1959-06-09,2024-02-03,Corporate,20,marek.wojcik.98@example.com,False
99,C000099,Marco,Kowalski,Marco Kowalski,M,1980-06-27,2022-05-24,Consumer,9,marco.kowalski.99@example.com,False
100,C000100,Marco,Garcia,Marco Garcia,F,1993-12-07,2022-06-03,VIP,9,marco.garcia.100@example.com,False
101,C000101,Marek,Nilsson,Marek Nilsson,M,1970-06-13,2023-06-02,Consumer,19,marek.nilsson.101@example.com,False
102,C000102,Lukas,Brown,Lukas Brown,Unknown,2004-09-01,2022-07-21,Consumer,35,lukas.brown.102@example.com,False
103,C000103,Tomas,Brown,Tomas Brown,M,1986-03-21,2022-07-05,Corporate,5,tomas.brown.103@example.com,False
104,C000104,Marta,Jansen,Marta Jansen,Unknown,1993-08-19,2023-11-16,Small Business,25,marta.jansen.104@example.com,False
105,C000105,Adam,Kowalski,Adam Kowalski,F,1978-12-26,2020-12-22,Corporate,27,adam.kowalski.105@example.com,False
106,C000106,Lukas,Brown,Lukas Brown,M,1994-01-19,2022-06-08,VIP,23,lukas.brown.106@example.com,False
107,C000107,Piotr,Rossi,Piotr Rossi,Unknown,1969-09-24,2023-09-04,Corporate,1,piotr.rossi.107@example.com,True
108,C000108,Eva,Jansen,Eva Jansen,F,2004-11-19,2022-11-14,Consumer,24,eva.jansen.108@example.com,True
109,C000109,Marco,Dubois,Marco Dubois,M,1960-02-27,2020-10-01,Consumer,7,marco.dubois.109@example.com,False
110,C000110,Julia,Jansen,Julia Jansen,M,1977-08-04,2023-04-24,Consumer,14,julia.jansen.110@example.com,True
111,C000111,Anna,Lewandowski,Anna Lewandowski,Unknown,1976-11-04,2021-01-09,Consumer,8,anna.lewandowski.111@example.com,True
112,C000112,Lucia,Novak,Lucia Novak,Unknown,1982-08-08,2022-01-14,Consumer,11,lucia.novak.112@example.com,False
113,C000113,Eva,Kowalski,Eva Kowalski,M,2002-10-07,2023-02-24,Consumer,28,eva.kowalski.113@example.com,True
114,C000114,Marta,Nilsson,Marta Nilsson,F,1961-09-06,2022-10-21,Consumer,18,marta.nilsson.114@example.com,True
115,C000115,Julia,Brown,Julia Brown,Unknown,1975-10-13,2022-06-28,Consumer,32,julia.brown.115@example.com,True
116,C000116,Filip,Smith,Filip Smith,Unknown,1998-12-26,2021-08-23,Consumer,30,filip.smith.116@example.com,True
117,C000117,Piotr,Smith,Piotr Smith,M,1978-12-05,2022-09-30,Corporate,20,piotr.smith.117@example.com,False
118,C000118,Lukas,Jansen,Lukas Jansen,Unknown,1995-09-23,2021-03-01,Consumer,28,lukas.jansen.118@example.com,True
119,C000119,Lucia,Lewandowski,Lucia Lewandowski,F,1983-10-02,2021-08-03,Consumer,12,lucia.lewandowski.119@example.com,True
120,C000120,Adam,Novak,Adam Novak,M,1996-08-14,2022-11-03,Corporate,25,adam.novak.120@example.com,False
121,C000121,Marta,Nilsson,Marta Nilsson,F,1956-04-10,2023-06-14,Consumer,11,marta.nilsson.121@example.com,True
122,C000122,Lena,Martin,Lena Martin,Unknown,2004-08-18,2021-03-15,Consumer,30,lena.martin.122@example.com,False
123,C000123,Adam,Lewandowski,Adam Lewandowski,Unknown,2003-01-25,2022-06-17,Consumer,24,adam.lewandowski.123@example.com,False
124,C000124,Marco,Lewandowski,Marco Lewandowski,M,1957-08-09,2021-07-07,Small Business,16,marco.lewandowski.124@example.com,True
125,C000125,Emma,Wojcik,Emma Wojcik,F,2002-10-23,2023-06-02,Corporate,16,emma.wojcik.125@example.com,False
126,C000126,Jan,Nilsson,Jan Nilsson,F,1977-09-09,2023-05-08,Consumer,14,jan.nilsson.126@example.com,False
127,C000127,Lena,Rossi,Lena Rossi,M,1987-11-27,2022-06-30,Small Business,19,lena.rossi.127@example.com,False
128,C000128,Sofia,Muller,Sofia Muller,Unknown,1964-12-11,2021-01-24,Consumer,9,sofia.muller.128@example.com,True
129,C000129,Tomas,Dubois,Tomas Dubois,M,1983-02-21,2020-04-18,Consumer,18,tomas.dubois.129@example.com,True
130,C000130,Kasia,Jansen,Kasia Jansen,Unknown,1975-10-01,2020-02-02,VIP,24,kasia.jansen.130@example.com,False
131,C000131,Marta,Wojcik,Marta Wojcik,M,1989-07-07,2021-12-26,Consumer,23,marta.wojcik.131@example.com,False
132,C000132,Adam,Nilsson,Adam Nilsson,Unknown,1963-10-28,2022-07-27,Corporate,22,adam.nilsson.132@example.com,True
133,C000133,Anna,Nowak,Anna Nowak,F,1965-08-15,2024-05-26,VIP,30,anna.nowak.133@example.com,False
134,C000134,Lukas,Lewandowski,Lukas Lewandowski,F,1972-02-21,2022-05-24,Consumer,20,lukas.lewandowski.134@example.com,False
135,C000135,Jan,Dubois,Jan Dubois,M,1995-05-24,2021-05-09,Corporate,11,jan.dubois.135@example.com,False
136,C000136,Emma,Jansen,Emma Jansen,Unknown,1959-03-19,2024-04-12,Consumer,1,emma.jansen.136@example.com,True
137,C000137,Piotr,Lewandowski,Piotr Lewandowski,F,1982-12-05,2021-01-22,Consumer,22,piotr.lewandowski.137@example.com,False
138,C000138,Piotr,Garcia,Piotr Garcia,Unknown,1978-05-05,2021-09-04,VIP,7,piotr.garcia.138@example.com,True
139,C000139,Lena,Kowalski,Lena Kowalski,Unknown,1994-11-06,2022-09-27,Consumer,34,lena.kowalski.139@example.com,False
140,C000140,Filip,Brown,Filip Brown,F,1983-04-03,2022-07-04,Corporate,27,filip.brown.140@example.com,True
141,C000141,Lucia,Wojcik,Lucia Wojcik,F,1963-04-09,2020-08-31,Corporate,28,lucia.wojcik.141@example.com,False
142,C000142,Anna,Lewandowski,Anna Lewandowski,F,1997-05-07,2023-05-29,Corporate,19,anna.lewandowski.142@example.com,True
143,C000143,Noah,Jansen,Noah Jansen,Unknown,1979-02-08,2020-12-31,Small Business,4,noah.jansen.143@example.com,True
144,C000144,Lucia,Smith,Lucia Smith,Unknown,1979-10-14,2024-01-15,Consumer,24,lucia.smith.144@example.com,False
145,C000145,Anna,Nilsson,Anna Nilsson,F,1959-01-09,2021-08-15,Small Business,5,anna.nilsson.145@example.com,True
146,C000146,Julia,Wojcik,Julia Wojcik,Unknown,1981-07-23,2021-05-03,Consumer,19,julia.wojcik.146@example.com,False
147,C000147,Marta,Rossi,Marta Rossi,Unknown,1960-09-07,2020-08-10,Consumer,18,marta.rossi.147@example.com,False
148,C000148,Marco,Martin,Marco Martin,F,1982-12-28,2021-08-28,Consumer,5,marco.martin.148@example.com,False
149,C000149,Filip,Nilsson,Filip Nilsson,F,1958-05-22,2020-11-27,Consumer,30,filip.nilsson.149@example.com,True
150,C000150,Lukas,Jansen,Lukas Jansen,F,1977-09-17,2021-04-05,Consumer,1,lukas.jansen.150@example.com,False
151,C000151,Piotr,Wojcik,Piotr Wojcik,Unknown,1956-06-26,2022-04-29,Consumer,18,piotr.wojcik.151@example.com,False
152,C000152,Marek,Jansen,Marek Jansen,F,1987-06-02,2023-10-12,Consumer,5,marek.jansen.152@example.com,True
153,C000153,Lena,Brown,Lena Brown,F,2001-02-08,2022-10-12,Consumer,7,lena.brown.153@example.com,False
154,C000154,Jan,Jansen,Jan Jansen,Unknown,1978-07-05,2021-09-12,Small Business,16,jan.jansen.154@example.com,False
155,C000155,Noah,Garcia,Noah Garcia,F,1970-07-24,2022-08-17,Corporate,27,noah.garcia.155@example.com,True
156,C000156,Lukas,Muller,Lukas Muller,M,1988-01-13,2024-06-01,Small Business,4,lukas.muller.156@example.com,True
157,C000157,Adam,Jansen,Adam Jansen,M,1955-06-07,2024-05-06,Corporate,6,adam.jansen.157@example.com,True
158,C000158,Lena,Jansen,Lena Jansen,F,2004-04-24,2021-11-05,Consumer,24,lena.jansen.158@example.com,True
159,C000159,Adam,Garcia,Adam Garcia,Unknown,1995-12-01,2021-01-25,Consumer,15,adam.garcia.159@example.com,False
160,C000160,Piotr,Muller,Piotr Muller,F,1988-04-14,2020-12-16,Corporate,20,piotr.muller.160@example.com,True
161,C000161,Julia,Dubois,Julia Dubois,Unknown,1999-06-15,2020-05-19,Consumer,15,julia.dubois.161@example.com,True
162,C000162,Marta,Nilsson,Marta Nilsson,F,1991-01-14,2020-11-16,Consumer,26,marta.nilsson.162@example.com,False
163,C000163,Lucia,Garcia,Lucia Garcia,F,1983-05-08,2022-12-06,Small Business,26,lucia.garcia.163@example.com,False
164,C000164,Piotr,Smith,Piotr Smith,Unknown,1983-08-11,2021-07-16,Consumer,10,piotr.smith.164@example.com,False
165,C000165,Marco,Jansen,Marco Jansen,Unknown,1971-02-03,2023-04-08,Corporate,29,marco.jansen.165@example.com,True
166,C000166,Sofia,Nowak,Sofia Nowak,F,2000-04-12,2023-10-09,Corporate,21,sofia.nowak.166@example.com,True
167,C000167,Anna,Dubois,Anna Dubois,F,1983-09-24,2021-11-10,Consumer,12,anna.dubois.167@example.com,False
168,C000168,Piotr,Kowalski,Piotr Kowalski,M,1958-04-05,2023-09-11,Corporate,9,piotr.kowalski.168@example.com,False
169,C000169,Lena,Nilsson,Lena Nilsson,Unknown,1971-02-01,2022-12-05,Consumer,6,lena.nilsson.169@example.com,True
170,C000170,Piotr,Kowalski,Piotr Kowalski,Unknown,1984-01-06,2022-10-28,Consumer,22,piotr.kowalski.170@example.com,True
171,C000171,Lukas,Garcia,Lukas Garcia,F,1968-03-09,2023-09-20,Consumer,28,lukas.garcia.171@example.com,False
172,C000172,Marco,Jansen,Marco Jansen,M,1981-09-16,2022-04-28,Consumer,16,marco.jansen.172@example.com,True
173,C000173,Noah,Brown,Noah Brown,M,1989-01-13,2021-10-28,Consumer,34,noah.brown.173@example.com,False
174,C000174,Lucia,Dubois,Lucia Dubois,F,1972-03-01,2022-05-03,Small Business,33,lucia.dubois.174@example.com,False
175,C000175,Marek,Novak,Marek Novak,F,1977-10-08,2022-02-12,Corporate,4,marek.novak.175@example.com,True
176,C000176,Noah,Nilsson,Noah Nilsson,F,1979-06-27,2020-08-09,Consumer,4,noah.nilsson.176@example.com,True
177,C000177,Lena,Kowalski,Lena Kowalski,F,2000-12-12,2023-07-28,Corporate,23,lena.kowalski.177@example.com,True
178,C000178,Adam,Rossi,Adam Rossi,F,1966-08-02,2022-01-24,Corporate,32,adam.rossi.178@example.com,True
179,C000179,Anna,Garcia,Anna Garcia,Unknown,1994-04-26,2023-07-19,Consumer,31,anna.garcia.179@example.com,False
180,C000180,Jan,Kowalski,Jan Kowalski,Unknown,1964-10-23,2022-03-24,Small Business,21,jan.kowalski.180@example.com,False
181,C000181,Eva,Nilsson,Eva Nilsson,F,1961-06-10,2021-11-11,Corporate,24,eva.nilsson.181@example.com,False
182,C000182,Lucia,Smith,Lucia Smith,F,2000-09-23,2022-04-13,Corporate,32,lucia.smith.182@example.com,False
183,C000183,Marco,Martin,Marco Martin,Unknown,1999-05-05,2021-07-07,Small Business,25,marco.martin.183@example.com,True
184,C000184,Lukas,Nilsson,Lukas Nilsson,F,1975-10-08,2023-05-20,Small Business,3,lukas.nilsson.184@example.com,True
185,C000185,Noah,Garcia,Noah Garcia,M,1975-03-21,2023-08-21,Consumer,5,noah.garcia.185@example.com,True
186,C000186,Hugo,Rossi,Hugo Rossi,M,1961-12-01,2024-01-12,Corporate,5,hugo.rossi.186@example.com,False
187,C000187,Marek,Klein,Marek Klein,M,1979-06-18,2021-07-08,Small Business,27,marek.klein.187@example.com,False
188,C000188,Lukas,Jansen,Lukas Jansen,M,1959-01-10,2023-09-25,VIP,15,lukas.jansen.188@example.com,True
189,C000189,Eva,Smith,Eva Smith,Unknown,2001-02-18,2023-08-21,VIP,11,eva.smith.189@example.com,False
190,C000190,Tomas,Brown,Tomas Brown,F,1965-10-14,2021-11-11,Consumer,2,tomas.brown.190@example.com,False
191,C000191,Adam,Martin,Adam Martin,M,2001-09-09,2021-09-23,Consumer,27,adam.martin.191@example.com,True
192,C000192,Sofia,Kowalski,Sofia Kowalski,Unknown,1978-01-14,2023-05-30,Corporate,32,sofia.kowalski.192@example.com,False
193,C000193,Anna,Muller,Anna Muller,F,1965-11-10,2024-06-05,Consumer,7,anna.muller.193@example.com,True
194,C000194,Ola,Nowak,Ola Nowak,M,1996-09-13,2023-07-25,Consumer,32,ola.nowak.194@example.com,False
195,C000195,Kasia,Jansen,Kasia Jansen,F,1971-04-27,2024-05-30,Consumer,17,kasia.jansen.195@example.com,False
196,C000196,Marta,Brown,Marta Brown,Unknown,1977-09-14,2021-02-26,Consumer,7,marta.brown.196@example.com,True
197,C000197,Tomas,Novak,Tomas Novak,M,1998-08-19,2024-01-05,Consumer,34,tomas.novak.197@example.com,False
198,C000198,Julia,Nilsson,Julia Nilsson,F,1988-10-22,2021-02-01,Small Business,3,julia.nilsson.198@example.com,False
199,C000199,Emma,Wojcik,Emma Wojcik,Unknown,1967-03-02,2021-04-03,Consumer,11,emma.wojcik.199@example.com,False
200,C000200,Filip,Rossi,Filip Rossi,M,1975-12-26,2022-04-21,Corporate,10,filip.rossi.200@example.com,False
201,C000201,Julia,Jansen,Julia Jansen,M,1955-12-20,2023-04-15,Consumer,18,julia.jansen.201@example.com,True
202,C000202,Piotr,Nilsson,Piotr Nilsson,M,2004-02-26,2024-03-15,Small Business,7,piotr.nilsson.202@example.com,True
203,C000203,Lena,Nilsson,Lena Nilsson,F,1985-01-06,2023-06-28,Corporate,32,lena.nilsson.203@example.com,False
204,C000204,Jan,Dubois,Jan Dubois,M,1976-12-08,2024-07-12,Small Business,26,jan.dubois.204@example.com,True
205,C000205,Marco,Rossi,Marco Rossi,F,1986-12-22,2023-01-02,Consumer,20,marco.rossi.205@example.com,False
206,C000206,Ola,Martin,Ola Martin,M,1981-10-21,2022-10-21,Consumer,21,ola.martin.206@example.com,False
207,C000207,Julia,Lewandowski,Julia Lewandowski,F,1978-01-17,2020-09-03,Consumer,32,julia.lewandowski.207@example.com,False
208,C000208,Julia,Klein,Julia Klein,F,1991-01-06,2022-08-03,Consumer,9,julia.klein.208@example.com,False
209,C000209,Emma,Rossi,Emma Rossi,Unknown,1978-08-17,2021-08-01,Consumer,24,emma.rossi.209@example.com,True
210,C000210,Lukas,Lewandowski,Lukas Lewandowski,F,1985-10-18,2022-12-14,Small Business,29,lukas.lewandowski.210@example.com,True
211,C000211,Marco,Kowalski,Marco Kowalski,F,1979-01-06,2022-10-25,Small Business,6,marco.kowalski.211@example.com,False
212,C000212,Ola,Brown,Ola Brown,M,1981-09-01,2019-08-18,Small Business,14,ola.brown.212@example.com,False
213,C000213,Noah,Rossi,Noah Rossi,M,1993-05-23,2021-07-22,Small Business,1,noah.rossi.213@example.com,False
214,C000214,Ola,Muller,Ola Muller,Unknown,1984-05-22,2022-10-08,Consumer,30,ola.muller.214@example.com,False
215,C000215,Adam,Brown,Adam Brown,M,1993-10-10,2021-10-09,Consumer,24,adam.brown.215@example.com,False
216,C000216,Ola,Rossi,Ola Rossi,F,1996-12-21,2022-03-22,Consumer,21,ola.rossi.216@example.com,True
217,C000217,Filip,Dubois,Filip Dubois,Unknown,1997-06-22,2021-10-02,Consumer,4,filip.dubois.217@example.com,True
218,C000218,Eva,Dubois,Eva Dubois,F,2002-01-19,2023-03-23,Consumer,27,eva.dubois.218@example.com,False
219,C000219,Marek,Klein,Marek Klein,Unknown,1997-06-17,2022-02-11,Small Business,35,marek.klein.219@example.com,True
220,C000220,Marek,Smith,Marek Smith,F,2002-05-24,2022-11-14,Small Business,7,marek.smith.220@example.com,False
